97615,50359
97615,51574
97880,51574
97880,52787
97832,52787
97832,54045
98308,54045
98308,55187
97455,55187
97455,56428
97608,56428
97608,57577
97086,57577
97086,58800
97054,58800
97054,60056
97128,60056
97128,61283
97011,61283
97011,62360
96295,62360
96295,63474
95780,63474
95780,64718
95702,64718
95702,65758
94990,65758
94990,67104
95133,67104
95133,68247
94699,68247
94699,69240
93917,69240
93917,70385
93499,70385
93499,71581
93170,71581
93170,72717
92702,72717
92702,73502
91601,73502
91601,74745
91319,74745
91319,75801
90706,75801
90706,76627
89745,76627
89745,77961
89534,77961
89534,78812
88622,78812
88622,79459
87470,79459
87470,80349
86652,80349
86652,81297
85905,81297
85905,82410
85333,82410
85333,83641
84859,83641
84859,84224
83712,84224
83712,85182
82941,85182
82941,85489
81580,85489
81580,86273
80667,86273
80667,87660
80237,87660
80237,87896
78879,87896
78879,88858
78085,88858
78085,89421
76998,89421
76998,90264
76103,90264
76103,90831
75024,90831
75024,91515
74018,91515
74018,92447
73143,92447
73143,92488
71787,92488
71787,93692
71024,93692
71024,93312
69506,93312
69506,94350
68637,94350
68637,94479
67379,94479
67379,95144
66333,95144
66333,95471
65160,95471
65160,96293
64141,96293
64141,96243
62855,96243
62855,96580
61686,96580
61686,97010
60535,97010
60535,97390
59366,97390
59366,96985
58055,96985
58055,97125
56855,97125
56855,97277
55659,97277
55659,97593
54477,97593
54477,97412
53250,97412
53250,98188
52079,98188
52079,97850
50851,97850
50851,97591
49640,97591
49640,97613
48433,97613
48433,97478
47232,97478
47232,97959
45983,97959
45983,98122
44739,98122
44739,97901
43531,97901
43531,97758
42314,97758
42314,96719
41262,96719
41262,97232
39921,97232
39921,96719
38786,96719
38786,96225
37658,96225
37658,96045
36448,96045
36448,95750
35265,95750
35265,95184
34173,95184
34173,95280
32840,95280
32840,94440
31858,94440
31858,93838
30794,93838
30794,93113
29795,93113
29795,93299
28353,93299
28353,92192
27553,92192
27553,91710
26435,91710
26435,91165
25347,91165
25347,90253
24485,90253
24485,89978
23217,89978
23217,88985
22426,88985
22426,88304
21425,88304
21425,87446
20559,87446
20559,87114
19267,87114
19267,86006
18614,86006
18614,85364
17561,85364
17561,84365
16835,84365
16835,83879
15605,83879
15605,82741
15031,82741
15031,81877
14176,81877
14176,81139
13168,81139
13168,80122
12482,80122
12482,79364
11466,79364
11466,77950
11328,77950
11328,77269
10183,77269
10183,75850
10124,75850
10124,75271
8765,75271
8765,73896
8695,73896
8695,72983
7845,72983
7845,72127
